seconds,mos_pred_concat,mos_target_concat_durw
11.03275,2.892168,3.125
12.9555,3.011793,3.384721
21.458312,2.848809,3.232276
28.106312,3.060812,3.591264
41.64,2.96969,3.561602
47.928125,3.118777,3.668319
58.949188,3.063006,3.63685
64.064688,3.155208,3.715753
70.29125,3.117045,3.630204
75.03525,3.169514,3.66939
88.853,2.992832,3.506974
95.756438,3.070751,3.578565
109.90925,2.977076,3.536256
116.232187,3.026549,3.588683
120.912437,2.999142,3.590089
125.877,3.051515,3.616116
141.154,2.948723,3.549434
147.755562,3.003387,3.558395
153.469,2.990749,3.551568
163.321375,3.044597,3.593701
174.166125,2.99982,3.587866
176.088875,3.01396,3.601921
185.236562,2.962975,3.596887
