elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
11.380187,2.739466,3.0
17.60675,3.03942,2.911588
36.366937,2.954147,3.279608
50.184687,2.874001,3.099369
66.434812,2.818418,2.983337
80.587625,2.828991,3.030169
86.757687,2.844289,2.992464
91.437937,2.845807,3.02484
111.888125,2.921741,3.0203
127.165125,2.914278,3.017861
133.920187,2.940518,3.00435
139.633625,2.962734,3.019516
152.86375,2.949841,3.017827
163.7085,2.952454,3.049768
177.953688,2.923401,2.975741
187.101375,2.920709,3.001373
