elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
8.626188,3.434814,4.375
16.370062,3.598901,4.493263
21.130125,3.712886,4.466621
30.185938,3.605303,4.364135
40.008,3.554823,4.489553
44.779688,3.646714,4.464027
53.173687,3.685607,4.469705
60.604062,3.728224,4.304837
65.062312,3.705232,4.326776
70.786062,3.769801,4.31046
75.592562,3.802378,4.306616
80.236562,3.836093,4.317809
88.70025,3.794056,4.311339
90.209563,3.798535,4.318678
97.930188,3.788968,4.323118
104.3505,3.841394,4.341692
106.707313,3.842694,4.325863
111.235187,3.827877,4.317686
119.861375,3.799589,4.321811
125.039437,3.773026,4.324014
129.7995,3.785196,4.325884
134.73375,3.806324,4.327682
144.555812,3.778695,4.364871
153.41425,3.817655,4.35102
161.80825,3.821569,4.358749
171.398062,3.817948,4.380639
175.856312,3.807167,4.386834
177.586187,3.812231,4.386719
182.392687,3.824615,4.383116
187.187625,3.809408,4.354091
