elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
1.92275,4.60539,4.875
6.717687,3.923449,3.715111
16.570062,4.231087,4.03315
18.299937,4.255165,4.065465
24.9015,4.329549,3.981833
34.491312,4.318638,4.195411
39.455875,4.381381,4.202279
48.314312,4.395764,4.18811
54.63725,4.436787,4.224204
59.5715,4.43,4.236694
66.474937,4.466434,4.264039
71.653,4.446523,4.272057
76.397,4.446135,4.270688
80.924875,4.446232,4.262536
86.040375,4.449956,4.284086
92.460687,4.444506,4.307759
98.748812,4.442256,4.312041
100.258125,4.440812,4.318634
106.906125,4.438765,4.345458
111.550125,4.448833,4.351892
113.472875,4.451486,4.360756
119.196625,4.457299,4.349435
129.049,4.456043,4.341844
136.479375,4.430002,4.275595
143.080937,4.434881,4.251345
147.852625,4.437131,4.251301
152.817187,4.449481,4.251259
161.873,4.451837,4.244195
168.195937,4.463055,4.253812
175.939812,4.468137,4.270149
182.84325,4.479943,4.278828
