seconds,mos_pred_concat,mos_target_concat_durw
4.45825,4.406689,4.625
12.961062,3.642388,3.558955
17.767562,3.769186,3.745898
31.30125,3.645978,3.639579
39.764937,3.668396,3.769503
50.786,3.605889,3.711018
58.506625,3.662506,3.798638
64.733187,3.656861,3.697772
67.09,3.660142,3.695215
80.90775,3.491348,3.51244
89.533937,3.538373,3.595543
103.68675,3.425927,3.548378
108.446812,3.445913,3.584661
113.127062,3.420583,3.58633
122.949125,3.494578,3.689278
138.226125,3.427388,3.613098
146.620125,3.458516,3.663873
152.333562,3.43151,3.653039
156.791812,3.44017,3.680676
167.636562,3.402115,3.668987
172.443062,3.420175,3.685182
181.59075,3.384005,3.675853
