seconds,mos_pred_concat,mos_target_concat_durw
18.325187,3.223307,2.875
22.969187,3.387624,3.203549
36.869312,3.200234,2.844051
38.378625,3.254101,2.919006
49.758812,3.227937,2.93753
56.179125,3.318195,3.130379
74.939312,3.222059,3.254201
79.467187,3.242097,3.303818
95.717312,3.173221,3.188573
100.895375,3.211281,3.249462
107.065437,3.200303,3.206271
111.999687,3.252039,3.257761
132.449875,3.266066,3.217963
141.308312,3.323943,3.274824
148.063375,3.330855,3.25088
157.653188,3.384497,3.342069
170.883312,3.364981,3.315585
172.613187,3.371124,3.326203
186.858375,3.311673,3.234629
191.653312,3.312816,3.235013
