seconds,mos_pred_concat,mos_target_concat_durw
9.685,3.158788,3.125
23.930188,2.06003,2.529719
33.800187,2.135214,2.849552
47.030313,2.130652,2.891875
51.850313,2.157678,2.960026
58.605375,2.219483,2.935818
73.285375,2.267385,3.048831
93.735563,2.251096,3.038177
98.100562,2.267888,3.030917
104.270625,2.267831,2.9995
117.535625,2.297298,3.013664
133.78575,2.27941,2.966456
147.75575,2.296149,2.957809
166.515938,2.27597,3.032976
173.405937,2.262707,3.0565
184.786125,2.215412,3.05302
