block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,10.0,3.441146,3.464291,20.0,3,20.0
20.0,40.0,30.0,3.885399,3.868868,20.0,3,20.0
40.0,60.0,50.0,3.294648,3.70617,20.0,4,20.0
60.0,80.0,70.0,3.414294,3.755741,20.0,3,20.0
80.0,100.0,90.0,4.319532,4.199865,20.0,4,20.0
100.0,120.0,110.0,2.983423,3.23983,20.0,3,20.0
120.0,140.0,130.0,3.358378,2.975256,20.0,3,20.0
140.0,160.0,150.0,3.603299,3.432137,20.0,4,20.0
160.0,180.0,170.0,3.791932,3.526096,20.0,4,20.0
180.0,185.236562,182.618281,4.454856,4.375,5.236562,1,20.0
