elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
13.533687,3.442628,3.5
19.247125,3.447154,3.462894
28.394813,3.299389,3.474848
33.510312,3.493047,3.650424
40.111875,3.681671,3.666812
44.855875,3.782842,3.728491
55.700625,3.611033,3.684004
60.380875,3.549433,3.679431
67.028875,3.650374,3.785611
81.181687,3.514284,3.692235
88.085125,3.603928,3.755542
97.9375,3.697011,3.805283
108.958562,3.634826,3.774404
117.461375,3.590825,3.718347
128.494125,3.568643,3.667401
134.720687,3.578669,3.625
149.997687,3.521027,3.561345
151.920437,3.535599,3.577971
156.885,3.576238,3.599237
170.70275,3.534373,3.520376
177.025687,3.575026,3.555366
178.948437,3.586817,3.569545
185.236562,3.616323,3.596887
