elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
5.1155,4.57058,4.625
13.9505,3.619098,3.516706
23.8205,3.424794,3.561578
30.723938,3.701909,3.772434
37.371938,3.85476,3.946331
43.9735,3.95935,3.916857
58.6535,3.712515,3.812524
64.941625,3.784394,3.866987
66.864375,3.809928,3.895974
80.019375,3.653349,3.645929
81.942125,3.67726,3.674769
86.686125,3.729975,3.706249
93.576125,3.713006,3.700267
98.396125,3.698719,3.69658
109.211125,3.665571,3.664734
118.896125,3.62429,3.620769
128.7485,3.693563,3.66892
142.7185,3.630357,3.591207
155.9835,3.582408,3.551561
165.835875,3.638677,3.593055
170.800437,3.67309,3.61215
177.123375,3.707508,3.643845
181.488375,3.692845,3.625353
