elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
11.03275,3.291606,3.125
16.7565,3.742899,3.466584
25.259313,3.440436,3.309522
29.903312,3.617813,3.494404
43.437,3.561452,3.496147
44.946312,3.59307,3.538252
55.967375,3.48181,3.53072
62.387687,3.582298,3.643332
68.61425,3.601002,3.562264
73.142125,3.660564,3.597101
86.959875,3.566604,3.442636
92.137937,3.604993,3.495034
106.29075,3.503767,3.462407
111.225,3.540453,3.502892
115.90525,3.51024,3.507823
124.763688,3.572734,3.551644
140.040687,3.50574,3.491465
149.6305,3.566799,3.572124
155.343937,3.564911,3.564874
157.073812,3.575843,3.573796
167.918562,3.531687,3.56903
172.7135,3.533542,3.560173
181.861187,3.50434,3.557147
