seconds,mos_pred_concat,mos_target_concat_durw
11.41,3.11266,3.25
18.840375,3.412481,3.200702
27.675375,3.284063,3.096726
33.399125,3.488636,3.272945
46.554125,3.354628,3.019209
51.198125,3.438058,3.153526
62.013125,3.401991,3.192151
63.522438,3.40576,3.229166
70.412437,3.214803,3.267899
76.83275,3.301286,3.381302
90.80275,3.246446,3.303407
95.330625,3.150269,3.34243
108.595625,3.149841,3.315871
113.773687,3.070794,3.364074
118.138687,3.078352,3.346003
123.072937,3.112571,3.387258
137.752937,3.086766,3.399273
146.611375,3.168806,3.443122
151.431375,3.167535,3.448911
161.021187,3.142206,3.526399
170.891187,3.132004,3.532094
172.621062,3.135579,3.540541
182.306062,3.124587,3.518465
187.101,3.071573,3.511585
