seconds,mos_pred_concat,mos_target_concat_durw
11.380187,2.610176,3.0
18.270187,2.716394,3.235698
37.030375,2.836885,3.432925
51.000375,2.820214,3.280098
67.2505,2.79998,3.121803
80.5155,2.800507,3.12233
86.685563,2.78447,3.078034
91.050562,2.794859,3.0683
111.50075,2.853513,3.055774
126.18075,2.854782,3.107455
132.935812,2.871385,3.089291
137.755812,2.871801,3.108036
150.985937,2.843755,3.098569
160.855937,2.840996,3.13087
175.101125,2.704721,3.049039
184.786125,2.728782,3.05302
