elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.852375,4.529536,4.25
18.687375,3.83864,3.599929
20.610125,3.916419,3.718882
33.765125,3.503856,3.195301
40.413125,3.677785,3.451051
51.228125,3.611537,3.434995
57.51625,3.703735,3.537764
64.40625,3.55565,3.547096
69.52175,3.63033,3.62641
83.49175,3.532867,3.500683
88.23575,3.592419,3.54097
101.50075,3.52369,3.486607
108.404187,3.595933,3.551142
112.769187,3.576654,3.524971
119.092125,3.565782,3.576738
133.772125,3.500745,3.568317
138.736687,3.548047,3.59271
143.556687,3.543793,3.593794
150.15825,3.530889,3.600662
160.02825,3.507407,3.602163
169.880625,3.566686,3.639735
179.565625,3.544686,3.611972
181.488375,3.556633,3.625353
