seconds,mos_pred_concat,mos_target_concat_durw
9.147687,3.065592,3.5
13.942625,3.308887,3.414024
24.787375,3.061148,3.451639
26.51725,3.106261,3.511876
32.230687,3.075361,3.487612
41.8205,3.262344,3.777089
57.0975,3.132565,3.569171
65.955938,3.235904,3.643824
70.636188,3.169318,3.642576
75.570438,3.211892,3.690399
89.72325,3.114758,3.620931
94.901313,3.156743,3.662075
108.719063,2.992712,3.530267
113.246938,3.037079,3.554046
119.4735,3.01201,3.512141
125.893812,3.078954,3.568895
136.914875,3.061646,3.563349
138.424187,3.077218,3.576288
151.957875,3.044985,3.569493
156.601875,3.065393,3.597087
165.104688,3.020025,3.566338
170.828438,3.052382,3.585056
181.861187,3.035987,3.557147
