block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,10.0,4.261963,4.27366,20.0,4,20.0
20.0,40.0,30.0,4.120823,4.153217,20.0,3,20.0
40.0,60.0,50.0,4.371545,4.186703,20.0,5,20.0
60.0,80.0,70.0,4.321772,4.345177,20.0,4,20.0
80.0,100.0,90.0,4.375938,4.606712,20.0,4,20.0
100.0,120.0,110.0,4.476247,4.448338,20.0,5,20.0
120.0,140.0,130.0,4.557273,4.607087,20.0,5,20.0
140.0,160.0,150.0,4.403928,4.398191,20.0,3,20.0
160.0,180.0,170.0,4.311196,4.25006,20.0,5,20.0
180.0,187.187625,183.593813,4.320552,4.125,7.187625,1,20.0
