seconds,mos_pred_concat,mos_target_concat_durw
13.533687,2.877645,3.5
24.348687,2.925553,3.444479
35.36975,2.785857,3.461779
42.25975,2.661438,3.48839
48.486312,2.70261,3.393567
62.456312,2.659088,3.277576
76.274062,2.428596,3.159356
89.539062,2.44141,3.154266
103.691875,2.301353,3.167333
108.056875,2.299017,3.155524
112.737125,2.280461,3.175014
127.417125,2.271775,3.212456
142.694125,2.262,3.18971
147.514125,2.254878,3.203933
153.227562,2.251061,3.210312
163.097562,2.266375,3.235407
173.942312,2.257022,3.251904
183.627312,2.247646,3.245211
192.775,2.252967,3.257301
