elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
11.380187,2.806159,3.0
17.60675,3.165041,2.911588
36.366937,2.90064,3.279608
50.184687,2.751699,3.099369
66.434812,2.668692,2.983337
80.587625,2.60274,3.030169
86.757687,2.61601,2.992464
91.437937,2.616193,3.02484
111.888125,2.707168,3.0203
127.165125,2.726925,3.017861
133.920187,2.764898,3.00435
139.633625,2.779819,3.019516
152.86375,2.761908,3.017827
163.7085,2.746401,3.049768
177.953688,2.711457,2.975741
187.101375,2.727243,3.001373
