seconds,mos_pred_concat,mos_target_concat_durw
9.147687,2.966946,3.5
18.832687,2.966353,3.30715
29.677437,2.986152,3.377622
39.547437,2.951569,3.439361
45.260875,2.978599,3.431236
50.080875,2.983285,3.449885
65.357875,2.925748,3.344727
80.037875,2.863594,3.373206
84.718125,2.852711,3.387117
89.083125,2.862052,3.362023
103.235937,2.800884,3.346666
116.500937,2.795068,3.321427
130.318687,2.739599,3.247584
144.288687,2.728343,3.211511
150.51525,2.734363,3.192419
157.40525,2.725302,3.211354
168.426312,2.725088,3.230241
179.241312,2.728779,3.238976
192.775,2.716839,3.257301
