block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,10.0,2.722517,2.753904,20.0,2,20.0
20.0,40.0,30.0,2.911191,3.12268,20.0,3,20.0
40.0,60.0,50.0,3.401032,3.022689,20.0,4,20.0
60.0,80.0,70.0,2.930194,3.0,20.0,2,20.0
80.0,100.0,90.0,3.070029,3.135518,20.0,2,20.0
100.0,120.0,110.0,2.881461,3.025067,20.0,3,20.0
120.0,140.0,130.0,2.61375,2.64583,20.0,3,20.0
140.0,160.0,150.0,2.682168,3.088278,20.0,2,20.0
160.0,180.0,170.0,3.049639,3.218875,20.0,3,20.0
180.0,187.101375,183.550687,2.872895,3.0,7.101375,1,20.0
