elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.794937,4.133725,3.25
9.601437,4.203478,3.750602
11.331312,4.202699,3.845925
15.789562,4.283007,4.0659
25.379375,4.286158,4.324393
33.773375,4.307968,4.368038
42.631813,4.319521,4.317537
52.453875,4.327835,4.421923
57.388125,4.326706,4.417889
62.148188,4.314997,4.414604
67.32625,4.298324,4.411558
75.952438,4.307907,4.407406
80.480312,4.314083,4.391517
82.837125,4.305079,4.369709
89.257437,4.322186,4.388072
96.978062,4.320688,4.387032
98.487375,4.320495,4.392594
106.951062,4.296132,4.38131
111.595062,4.3063,4.386249
116.401562,4.304927,4.380623
122.125312,4.314515,4.368642
126.583562,4.320594,4.377671
134.013937,4.307878,4.308217
142.407938,4.31177,4.319522
147.179625,4.310133,4.317268
157.001688,4.313498,4.352159
166.0575,4.327977,4.339771
170.817563,4.323682,4.340753
178.561438,4.326337,4.35308
187.187625,4.328934,4.354091
