elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
8.626188,4.430955,4.375
13.084437,4.44457,4.460182
14.814312,4.415822,4.450236
21.234625,4.453504,4.503076
22.743938,4.444178,4.519462
27.387937,4.456966,4.516162
36.97775,4.415699,4.576805
45.37175,4.410501,4.562596
50.17825,4.397844,4.532653
60.000312,4.388365,4.588695
67.430688,4.355028,4.427407
69.7875,4.342958,4.400308
74.594,4.338796,4.390623
80.31775,4.350961,4.371694
88.781438,4.323428,4.360093
98.6035,4.325073,4.411383
103.53775,4.324833,4.409649
112.163938,4.332995,4.406985
116.935625,4.330068,4.400579
121.695688,4.323774,4.399578
130.554125,4.326474,4.380947
135.012375,4.331244,4.389006
139.54025,4.332916,4.38044
148.596063,4.342622,4.364873
153.774125,4.329322,4.365214
158.534188,4.324513,4.365507
166.278063,4.329243,4.377592
171.073,4.323694,4.345988
178.793625,4.321755,4.34724
187.187625,4.324707,4.354091
