seconds,mos_pred_concat,mos_target_concat_durw
6.601562,4.597768,3.75
20.501687,3.468151,2.733001
27.405125,3.700487,3.178114
32.149125,3.765174,3.336284
38.319187,3.637077,3.201628
48.171563,3.768399,3.416048
54.819563,3.820739,3.577817
61.1425,3.85992,3.673183
75.387687,3.575084,3.38064
77.310437,3.596658,3.417805
83.598562,3.62384,3.489803
104.04875,3.488272,3.393535
115.428937,3.434913,3.354737
128.659062,3.380038,3.318259
133.623625,3.428877,3.352876
140.378687,3.414157,3.323865
156.628812,3.313916,3.251359
161.744312,3.357123,3.294803
180.5045,3.302953,3.329121
