seconds,mos_pred_concat,mos_target_concat_durw
6.601562,3.888854,3.75
11.408062,4.024721,3.960662
13.764875,3.947936,3.903191
18.729437,4.086411,3.995118
23.4895,4.036033,4.0721
29.812438,3.996237,4.162854
36.100563,4.024859,4.199806
44.494563,3.97684,4.256438
50.8175,3.959374,4.286743
59.443688,3.930591,4.299551
64.187688,3.961857,4.295888
74.040063,3.996589,4.289782
75.962812,4.007728,4.304595
80.722875,3.994853,4.308747
85.181125,3.96238,4.325299
95.003188,3.898701,4.382131
103.466875,3.876487,4.371322
110.370313,3.906614,4.379371
114.828563,3.883905,4.388907
123.222563,3.877044,4.396475
133.044625,3.841031,4.431802
140.76525,3.826385,4.428687
145.57175,3.838048,4.422787
150.536313,3.855892,4.417089
152.459063,3.86276,4.422864
159.060625,3.854403,4.394937
165.708625,3.867504,4.409182
175.561,3.897028,4.400249
180.6765,3.906751,4.406612
