seconds,mos_pred_concat,mos_target_concat_durw
11.03275,3.045829,3.125
12.9555,3.13436,3.384721
21.458312,2.812684,3.232276
28.106312,3.03366,3.591264
41.64,2.85421,3.561602
47.928125,2.982495,3.668319
58.949188,2.865945,3.63685
64.064688,2.937632,3.715753
70.29125,2.920641,3.630204
75.03525,2.980965,3.66939
88.853,2.77037,3.506974
95.756438,2.876017,3.578565
109.90925,2.733056,3.536256
116.232187,2.756051,3.588683
120.912437,2.732449,3.590089
125.877,2.788119,3.616116
141.154,2.713296,3.549434
147.755562,2.762506,3.558395
153.469,2.740983,3.551568
163.321375,2.804567,3.593701
174.166125,2.765236,3.587866
176.088875,2.782115,3.601921
185.236562,2.751063,3.596887
