elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
11.380187,2.279122,3.0
17.60675,2.806581,2.911588
36.366937,2.659433,3.279608
50.184687,2.610685,3.099369
66.434812,2.579246,2.983337
80.587625,2.570305,3.030169
86.757687,2.599509,2.992464
91.437937,2.60291,3.02484
111.888125,2.626175,3.0203
127.165125,2.663417,3.017861
133.920187,2.704766,3.00435
139.633625,2.727262,3.019516
152.86375,2.727703,3.017827
163.7085,2.735628,3.049768
177.953688,2.704535,2.975741
187.101375,2.717365,3.001373
