elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
6.322938,4.527168,4.5
11.083,4.375417,4.446313
16.047563,4.469819,4.385581
25.869625,4.429613,4.571401
32.471187,4.4638,4.404406
40.865187,4.445336,4.424042
50.717562,4.470407,4.390232
55.175812,4.471758,4.409202
57.098562,4.472314,4.424887
61.905062,4.456844,4.411308
68.553062,4.455203,4.444153
77.01675,4.406567,4.422817
83.304875,4.401162,4.419208
91.0255,4.392868,4.415458
96.141,4.393662,4.426607
98.497812,4.384185,4.407427
103.241812,4.390912,4.400193
111.868,4.390278,4.39825
118.771437,4.403352,4.404165
123.5315,4.394508,4.403041
129.854437,4.400968,4.407762
139.6765,4.398363,4.440618
144.641062,4.408049,4.434075
153.035062,4.406177,4.437691
159.636625,4.4141,4.409253
164.094875,4.416084,4.415114
173.94725,4.42505,4.405762
178.75375,4.420964,4.401574
180.6765,4.42168,4.406612
