seconds,mos_pred_concat,mos_target_concat_durw
9.147687,2.937911,3.5
23.392875,2.438314,2.662688
34.237625,2.423355,2.927906
47.46775,2.449335,2.948
53.181188,2.440004,2.993874
59.93625,2.492408,2.966389
75.21325,2.514212,2.973216
95.663438,2.540629,2.978941
100.343688,2.530122,3.009075
106.51375,2.542144,2.979586
120.666562,2.467114,3.011302
136.916687,2.477759,2.965453
150.734437,2.410373,2.934244
169.494625,2.442557,3.010699
175.721187,2.448968,3.001461
187.101375,2.427548,3.001373
