elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.45825,4.459383,4.625
8.9165,4.459383,4.625
15.8065,4.087106,4.189103
29.7765,3.651157,3.572576
39.4615,3.533982,3.462728
44.268,3.632968,3.548208
58.948,3.461618,3.536202
67.342,3.574925,3.656337
69.698813,3.590329,3.655278
80.513813,3.582978,3.617629
90.335875,3.684583,3.754341
95.095938,3.709676,3.785408
99.902438,3.745085,3.807761
111.312438,3.706528,3.750588
119.776125,3.730539,3.785878
129.646125,3.690685,3.77363
142.801125,3.622919,3.644787
147.166125,3.612049,3.621954
155.792313,3.653345,3.66365
169.057313,3.614009,3.621386
176.777938,3.656992,3.654299
181.597938,3.655619,3.653521
190.432938,3.634899,3.617402
