seconds,mos_pred_concat,mos_target_concat_durw
6.903437,4.75678,4.5
14.647312,4.760221,4.566086
20.97025,4.766329,4.54616
30.026063,4.637383,4.419139
34.990625,4.616545,4.395141
39.762313,4.618153,4.377723
46.363875,4.611322,4.288344
53.79425,4.449797,4.127656
63.646625,4.461967,4.146595
69.370375,4.47612,4.144813
71.293125,4.478966,4.164506
75.937125,4.491892,4.185023
82.585125,4.478464,4.230503
84.094437,4.482337,4.239827
90.382562,4.460804,4.249231
96.802875,4.455705,4.274154
101.918375,4.461681,4.291764
106.44625,4.466128,4.28467
111.19025,4.479045,4.283191
116.368312,4.443691,4.287276
123.27175,4.459383,4.299189
128.206,4.474718,4.302107
134.528937,4.483348,4.311408
143.387375,4.482834,4.299892
148.351937,4.479068,4.298222
157.94175,4.482442,4.325653
164.543312,4.493766,4.302557
166.273187,4.496239,4.303311
176.125562,4.49709,4.300329
180.9205,4.458513,4.272492
182.84325,4.454283,4.278828
