seconds,mos_pred_concat,mos_target_concat_durw
4.39,4.360708,3.555556
9.37,3.774278,3.100842
15.29,3.511873,3.167393
18.14,3.573831,3.333118
21.21,3.638689,3.390169
30.3,3.537416,3.573119
32.69,3.561013,3.571835
38.14,3.557196,3.549662
40.02,3.568641,3.543974
43.67,3.477968,3.526368
45.36,3.490219,3.528047
51.38,3.42748,3.439139
58.03,3.457245,3.446114
60.81,3.471497,3.453149
67.38,3.441648,3.469905
74.48,3.467821,3.469108
80.02,3.501643,3.524325
85.43,3.482908,3.548115
88.58,3.48247,3.553516
92.13,3.486557,3.535152
98.51,3.512722,3.540971
105.03,3.507795,3.535606
107.14,3.503128,3.539828
113.93,3.4722,3.558739
116.25,3.472624,3.540105
118.85,3.479038,3.553812
122.33,3.488133,3.564473
128.94,3.467696,3.573984
138.23,3.440895,3.572066
144.24,3.466842,3.552397
152.37,3.445199,3.560273
154.51,3.452794,3.560067
157.1,3.45166,3.568819
161.5,3.456186,3.583593
166.86,3.447944,3.584615
170.73,3.457555,3.571363
172.28,3.456297,3.57447
174.61,3.459051,3.578665
182.14,3.443555,3.550984
