block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,10.0,3.63768,3.245117,20.0,6,20.0
20.0,40.0,30.0,3.884581,3.281123,20.0,6,20.0
40.0,60.0,50.0,3.906839,3.061119,20.0,4,20.0
60.0,80.0,70.0,3.825641,3.536368,20.0,6,20.0
80.0,100.0,90.0,3.675044,2.880162,20.0,5,20.0
100.0,120.0,110.0,3.81549,3.488138,20.0,4,20.0
120.0,140.0,130.0,3.561071,2.857479,20.0,6,20.0
140.0,160.0,150.0,3.9132,3.16625,20.0,3,20.0
160.0,180.0,170.0,3.798906,3.399071,20.0,4,20.0
180.0,180.72,180.36,3.840826,4.0,0.72,1,20.0
