seconds,mos_pred_concat,mos_target_concat_durw
7.24,4.274499,2.5
13.79,3.867216,2.953392
18.94,3.869145,2.966065
23.19,3.841321,3.109736
32.43,3.86339,3.07847
35.57,3.81966,3.135744
42.01,3.85081,2.987187
44.31,3.847566,3.001694
49.81,3.782547,2.946297
51.65,3.769656,2.958898
57.45,3.801523,2.9967
62.19,3.768567,2.996951
71.91,3.818453,2.923635
77.81,3.797008,2.967338
84.31,3.790935,2.931308
86.0,3.747961,2.935681
87.44,3.746027,2.949092
89.23,3.727368,2.952119
91.87,3.732345,2.921167
94.71,3.702569,2.897828
97.14,3.723936,2.889961
99.73,3.71453,2.897541
102.53,3.734816,2.890408
104.62,3.725471,2.912574
112.81,3.727257,2.870522
114.75,3.720464,2.87102
119.53,3.728849,2.879254
121.38,3.713207,2.890474
129.07,3.735011,2.913248
135.17,3.741762,2.937992
140.9,3.740759,2.95678
144.28,3.734014,2.951936
145.77,3.737532,2.948339
151.67,3.702035,2.956832
155.21,3.705456,2.946412
158.5,3.708596,2.958847
163.0,3.692249,2.935827
166.49,3.688961,2.954323
168.43,3.687172,2.949613
172.02,3.678061,2.966317
174.32,3.672878,2.972039
178.52,3.657391,2.964855
181.72,3.662513,2.9733
