block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,20.0,10.0,3.205378,2.815515,20.0,3,20.0
20.0,40.0,30.0,3.524592,2.881397,20.0,4,20.0
40.0,60.0,50.0,3.910186,3.161386,20.0,7,20.0
60.0,80.0,70.0,3.522823,3.394496,20.0,6,20.0
80.0,100.0,90.0,3.655579,3.026333,20.0,3,20.0
100.0,120.0,110.0,3.504917,3.290456,20.0,4,20.0
120.0,140.0,130.0,3.717771,2.622062,20.0,5,20.0
140.0,160.0,150.0,3.415848,2.624386,20.0,4,20.0
160.0,180.0,170.0,3.709528,2.946264,20.0,4,20.0
180.0,182.11,181.055,4.11537,2.727273,2.11,1,20.0
