elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
8.13,3.85399,3.7
9.82,3.966854,3.677873
15.23,3.958781,3.756777
18.01,4.009639,3.732577
21.08,4.058962,3.731805
24.23,3.982562,3.72767
29.68,3.939243,3.670562
33.33,3.968758,3.633632
35.93,3.976542,3.672204
38.78,4.004883,3.712625
44.8,4.030241,3.585857
46.35,4.033616,3.596919
51.33,4.010941,3.509901
58.43,4.055356,3.504024
60.75,4.057204,3.470455
70.04,4.08322,3.480403
73.91,4.092419,3.455248
78.31,4.104062,3.492099
80.19,4.099277,3.49061
85.73,4.125829,3.54076
92.25,4.091569,3.534666
94.84,4.093235,3.549857
96.95,4.089469,3.554213
99.34,4.098488,3.554245
105.35,4.114897,3.528331
112.14,4.12346,3.548241
115.69,4.127199,3.533778
122.07,4.134549,3.538546
128.64,4.130281,3.542961
133.03,4.136466,3.543377
135.17,4.141701,3.54341
137.5,4.143722,3.549264
142.86,4.146303,3.551745
149.51,4.155798,3.549443
157.04,4.137929,3.518739
160.52,4.140155,3.527624
166.44,4.139397,3.518557
175.53,4.135929,3.543489
182.14,4.11975,3.550984
