seconds,mos_pred_concat,mos_target_concat_durw
7.24,4.239604,2.5
13.79,3.861261,2.953392
18.94,3.8626,2.966065
23.19,3.656729,3.109736
32.43,3.779852,3.07847
35.57,3.679088,3.135744
42.01,3.731015,2.987187
44.31,3.735199,3.001694
49.81,3.652319,2.946297
51.65,3.612599,2.958898
57.45,3.66672,2.9967
62.19,3.67877,2.996951
71.91,3.652548,2.923635
77.81,3.661902,2.967338
84.31,3.63274,2.931308
86.0,3.611728,2.935681
87.44,3.60406,2.949092
89.23,3.605506,2.952119
91.87,3.605674,2.921167
94.71,3.555436,2.897828
97.14,3.559833,2.889961
99.73,3.566214,2.897541
102.53,3.56428,2.890408
104.62,3.555184,2.912574
112.81,3.590744,2.870522
114.75,3.59363,2.87102
119.53,3.6084,2.879254
121.38,3.607334,2.890474
129.07,3.628366,2.913248
135.17,3.60396,2.937992
140.9,3.576995,2.95678
144.28,3.57651,2.951936
145.77,3.577899,2.948339
151.67,3.57088,2.956832
155.21,3.580035,2.946412
158.5,3.579743,2.958847
163.0,3.57877,2.935827
166.49,3.588885,2.954323
168.43,3.594711,2.949613
172.02,3.604625,2.966317
174.32,3.606021,2.972039
178.52,3.599048,2.964855
181.72,3.605865,2.9733
