elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
1.84,3.841595,3.3
3.53,3.601421,3.230028
5.83,3.620266,3.244483
12.38,3.574285,3.355622
14.97,3.653989,3.325552
20.87,3.701973,3.374869
25.61,3.761711,3.305487
28.75,3.783422,3.351553
31.39,3.803176,3.22737
33.33,3.786215,3.208315
35.42,3.771446,3.25503
38.22,3.775819,3.209706
47.94,3.846151,3.056595
51.53,3.873825,3.104903
53.02,3.873141,3.090714
58.75,3.874083,3.120879
61.05,3.880227,3.131395
64.25,3.91047,3.146986
67.09,3.89833,3.10448
68.53,3.898104,3.118044
72.07,3.907603,3.087687
77.22,3.922242,3.081839
79.01,3.909829,3.08225
83.79,3.925796,3.081946
90.29,3.934732,3.040052
99.53,3.958056,3.036334
101.47,3.956236,3.026948
104.85,3.947676,3.018021
109.35,3.942988,2.981271
112.84,3.954247,3.007155
118.74,3.939724,3.015081
124.84,3.945339,3.036896
126.69,3.940622,3.045344
130.89,3.94123,3.033193
135.14,3.932905,3.055736
143.33,3.946464,3.014457
145.76,3.953752,3.007269
149.05,3.956319,3.019149
156.74,3.957694,3.03159
162.24,3.947535,3.013569
168.68,3.953587,2.981235
175.92,3.965358,2.96143
181.72,3.970951,2.9733
