seconds,mos_pred_concat,mos_target_concat_durw
1.84,3.727899,3.3
10.03,3.93237,2.510668
12.33,3.888566,2.676561
17.83,3.780431,2.622098
20.67,3.772503,2.556251
22.16,3.750051,2.559193
25.7,3.749619,2.551039
27.79,3.764614,2.660011
30.43,3.758181,2.591906
32.86,3.784549,2.591272
37.64,3.828312,2.652947
40.23,3.844356,2.686995
41.67,3.851054,2.72373
45.05,3.843399,2.725701
51.55,3.811429,2.697242
53.85,3.819597,2.721563
60.29,3.792252,2.66229
67.53,3.826586,2.644891
77.25,3.836967,2.620941
79.19,3.826862,2.627777
88.43,3.815356,2.66667
90.28,3.824679,2.686111
96.08,3.830346,2.725182
99.67,3.818385,2.762095
103.16,3.813492,2.797823
106.36,3.809698,2.817278
112.46,3.815824,2.852223
118.36,3.769477,2.867898
122.56,3.748446,2.861002
129.11,3.717443,2.891113
131.91,3.722921,2.885706
133.6,3.703374,2.889098
136.74,3.695178,2.908345
141.24,3.668452,2.883387
143.03,3.67481,2.886098
148.18,3.669558,2.890057
152.43,3.67954,2.914033
154.37,3.661952,2.909401
160.1,3.660478,2.92696
167.79,3.67222,2.942807
172.53,3.66654,2.944378
175.82,3.675843,2.955626
181.72,3.666827,2.9733
