seconds,mos_pred_concat,mos_target_concat_durw
5.41,3.13693,3.9
8.95,3.615418,3.346257
12.02,3.712037,3.443571
13.51,3.792681,3.350535
18.96,3.759439,3.369544
24.69,3.583978,3.376612
27.29,3.643406,3.451883
34.98,3.738719,3.412498
41.0,3.631869,3.318047
45.78,3.633146,3.292871
50.76,3.635923,3.234705
58.95,3.68958,3.109476
61.27,3.70785,3.091132
64.07,3.695754,3.071257
67.94,3.727673,3.067198
70.37,3.732818,3.05049
72.25,3.750393,3.060327
74.89,3.752339,3.018543
81.41,3.744763,3.053461
82.85,3.734454,3.065568
84.96,3.739809,3.082566
91.46,3.667126,3.041163
97.47,3.684329,3.044791
107.19,3.65764,2.991268
110.74,3.654424,2.994014
116.54,3.661782,3.010901
123.11,3.619085,3.043673
128.61,3.584877,3.020423
130.75,3.59113,3.029017
137.19,3.596151,2.988536
142.55,3.567007,3.012106
151.79,3.576003,3.011369
159.32,3.551791,3.006535
164.47,3.552093,3.00633
170.39,3.53489,3.015586
177.63,3.553104,2.994571
184.24,3.554354,3.021674
