block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.868339,3.5,5.0,1,5.0
5.0,10.0,7.5,3.137023,3.734386,5.0,2,5.0
10.0,15.0,12.5,3.300837,3.79437,5.0,2,5.0
15.0,20.0,17.5,2.989285,3.5,5.0,1,5.0
20.0,25.0,22.5,3.914366,3.962722,5.0,2,5.0
25.0,30.0,27.5,4.488698,4.25,5.0,1,5.0
30.0,35.0,32.5,3.838821,3.684323,5.0,2,5.0
35.0,40.0,37.5,4.042199,3.563925,5.0,2,5.0
40.0,45.0,42.5,4.274548,3.612384,5.0,2,5.0
45.0,50.0,47.5,2.859615,3.0,5.0,1,5.0
50.0,55.0,52.5,2.859615,3.0,5.0,1,5.0
55.0,60.0,57.5,3.090078,3.160109,5.0,2,5.0
60.0,65.0,62.5,4.417595,4.165516,5.0,2,5.0
65.0,70.0,67.5,3.21371,3.799234,5.0,2,5.0
70.0,75.0,72.5,4.580215,4.5,5.0,1,5.0
75.0,80.0,77.5,2.990014,3.331828,5.0,2,5.0
80.0,85.0,82.5,2.878624,3.25,5.0,1,5.0
85.0,90.0,87.5,3.06286,3.379969,5.0,2,5.0
90.0,95.0,92.5,4.650549,4.5,5.0,1,5.0
95.0,100.0,97.5,3.213028,3.143836,5.0,2,5.0
100.0,105.0,102.5,2.663067,2.625,5.0,1,5.0
105.0,110.0,107.5,2.663067,2.625,5.0,1,5.0
110.0,115.0,112.5,4.169111,4.168167,5.0,3,5.0
115.0,120.0,117.5,3.587642,2.75,5.0,1,5.0
120.0,125.0,122.5,4.275078,4.185547,5.0,2,5.0
125.0,130.0,127.5,3.501115,3.789659,5.0,2,5.0
130.0,135.0,132.5,3.159768,3.5,5.0,1,5.0
135.0,140.0,137.5,3.784279,3.971023,5.0,2,5.0
140.0,145.0,142.5,3.940069,4.129398,5.0,2,5.0
145.0,150.0,147.5,2.966696,3.5,5.0,1,5.0
150.0,155.0,152.5,2.966696,3.5,5.0,1,5.0
155.0,160.0,157.5,3.807299,4.217438,5.0,2,5.0
160.0,165.0,162.5,4.059255,4.322387,5.0,2,5.0
165.0,170.0,167.5,2.908744,3.0,5.0,1,5.0
170.0,175.0,172.5,3.506455,3.740936,5.0,3,5.0
175.0,180.0,177.5,2.953455,3.125,5.0,1,5.0
180.0,185.0,182.5,2.953455,3.125,5.0,1,5.0
185.0,185.236562,185.118281,2.953455,3.125,0.236562,1,5.0
