block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.848951,3.125,5.0,1,5.0
5.0,10.0,7.5,3.128758,3.062,5.0,2,5.0
10.0,15.0,12.5,2.441835,2.125,5.0,1,5.0
15.0,20.0,17.5,2.502632,2.125,5.0,1,5.0
20.0,25.0,22.5,2.267112,2.445944,5.0,2,5.0
25.0,30.0,27.5,2.857328,3.625,5.0,1,5.0
30.0,35.0,32.5,2.65288,3.475023,5.0,2,5.0
35.0,40.0,37.5,2.654445,3.0,5.0,1,5.0
40.0,45.0,42.5,2.23447,3.0,5.0,1,5.0
45.0,50.0,47.5,3.068985,3.371211,5.0,2,5.0
50.0,55.0,52.5,2.931383,3.073805,5.0,2,5.0
55.0,60.0,57.5,3.166807,2.959194,5.0,2,5.0
60.0,65.0,62.5,2.932247,3.5,5.0,1,5.0
65.0,70.0,67.5,2.635895,3.5,5.0,1,5.0
70.0,75.0,72.5,2.851475,3.328538,5.0,2,5.0
75.0,80.0,77.5,1.979649,3.0,5.0,1,5.0
80.0,85.0,82.5,3.124563,3.0,5.0,1,5.0
85.0,90.0,87.5,1.772844,3.0,5.0,1,5.0
90.0,95.0,92.5,2.907067,2.968389,5.0,2,5.0
95.0,100.0,97.5,2.82804,2.732542,5.0,2,5.0
100.0,105.0,102.5,2.758109,2.591172,5.0,2,5.0
105.0,110.0,107.5,3.041537,3.125,5.0,1,5.0
110.0,115.0,112.5,3.115886,3.125,5.0,1,5.0
115.0,120.0,117.5,2.846989,2.878562,5.0,2,5.0
120.0,125.0,122.5,2.160469,2.625,5.0,1,5.0
125.0,130.0,127.5,2.809555,2.625,5.0,1,5.0
130.0,135.0,132.5,2.74004,2.685713,5.0,2,5.0
135.0,140.0,137.5,2.528399,2.875,5.0,1,5.0
140.0,145.0,142.5,2.905251,2.875,5.0,1,5.0
145.0,150.0,147.5,3.007128,3.211637,5.0,2,5.0
150.0,155.0,152.5,2.880806,3.625,5.0,1,5.0
155.0,160.0,157.5,2.740766,3.625,5.0,1,5.0
160.0,165.0,162.5,2.72693,3.625,5.0,1,5.0
165.0,170.0,167.5,2.743108,3.625,5.0,2,5.0
170.0,175.0,172.5,2.416452,3.425742,5.0,2,5.0
175.0,180.0,177.5,2.121913,3.0,5.0,1,5.0
180.0,184.786125,182.393062,2.838338,3.0,4.786125,1,5.0
