seconds,mos_pred_concat,mos_target_concat_durw
1.92275,4.444542,4.875
16.167938,2.91509,2.45204
26.020313,3.403204,3.132823
39.250438,3.214485,3.088052
45.852,3.378723,3.183356
52.607063,3.331142,3.127711
57.571625,3.420888,3.224489
78.021813,3.275817,3.165648
84.34475,3.330042,3.265679
90.514813,3.301157,3.213485
97.41825,3.369946,3.304653
113.668375,3.288688,3.207489
118.412375,3.317116,3.249255
137.172562,3.218781,3.300644
142.288062,3.261949,3.348256
153.66825,3.221288,3.322466
159.956375,3.250198,3.363842
173.8565,3.174818,3.274789
180.5045,3.215482,3.329121
