seconds,mos_pred_concat,mos_target_concat_durw
10.84475,2.989285,3.5
15.372625,3.267947,3.684088
29.190375,2.886573,3.182751
38.338062,2.799527,3.258449
44.758375,2.987861,3.454472
49.553313,3.06876,3.434687
63.706125,2.969246,3.393657
74.738875,2.893576,3.353999
85.759938,2.891198,3.372761
91.473375,2.897051,3.372901
96.117375,2.96014,3.427358
100.797625,2.929442,3.436535
116.074625,2.848463,3.379081
122.301188,2.838467,3.347053
127.235438,2.873138,3.386918
136.093875,2.919735,3.43496
149.627563,2.882378,3.440843
151.357438,2.894728,3.451519
159.86025,2.874468,3.427503
169.450063,2.926543,3.502348
174.628125,2.949109,3.528224
176.137438,2.955404,3.538694
181.861187,3.000362,3.557147
