block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.35853,2.125,5.0,1,5.0
5.0,10.0,7.5,2.35853,2.125,5.0,1,5.0
10.0,15.0,12.5,2.455061,2.257092,5.0,2,5.0
15.0,20.0,17.5,2.997962,3.0,5.0,1,5.0
20.0,25.0,22.5,2.997962,3.0,5.0,1,5.0
25.0,30.0,27.5,2.997962,3.0,5.0,1,5.0
30.0,35.0,32.5,2.96654,2.977153,5.0,2,5.0
35.0,40.0,37.5,2.482203,2.625,5.0,1,5.0
40.0,45.0,42.5,2.482203,2.625,5.0,1,5.0
45.0,50.0,47.5,2.611816,2.587828,5.0,2,5.0
50.0,55.0,52.5,2.899478,2.531681,5.0,2,5.0
55.0,60.0,57.5,2.624806,3.0,5.0,1,5.0
60.0,65.0,62.5,2.624806,3.0,5.0,1,5.0
65.0,70.0,67.5,2.624929,3.004977,5.0,2,5.0
70.0,75.0,72.5,2.706705,3.562077,5.0,2,5.0
75.0,80.0,77.5,3.564251,2.75,5.0,1,5.0
80.0,85.0,82.5,2.771738,2.95665,5.0,2,5.0
85.0,90.0,87.5,2.605489,3.0,5.0,1,5.0
90.0,95.0,92.5,2.535612,3.137641,5.0,2,5.0
95.0,100.0,97.5,2.47857,3.25,5.0,1,5.0
100.0,105.0,102.5,2.47857,3.25,5.0,1,5.0
105.0,110.0,107.5,2.673981,3.43,5.0,2,5.0
110.0,115.0,112.5,2.749974,3.5,5.0,1,5.0
115.0,120.0,117.5,2.782727,3.5,5.0,2,5.0
120.0,125.0,122.5,2.809411,3.5,5.0,1,5.0
125.0,130.0,127.5,3.189347,3.409811,5.0,2,5.0
130.0,135.0,132.5,2.880475,2.940881,5.0,2,5.0
135.0,140.0,137.5,2.549023,2.625,5.0,1,5.0
140.0,145.0,142.5,2.549023,2.625,5.0,1,5.0
145.0,150.0,147.5,2.775632,2.6661,5.0,2,5.0
150.0,155.0,152.5,3.238223,2.75,5.0,1,5.0
155.0,160.0,157.5,2.680851,2.994447,5.0,2,5.0
160.0,165.0,162.5,2.668189,3.0,5.0,1,5.0
165.0,170.0,167.5,2.664272,3.207352,5.0,2,5.0
170.0,175.0,172.5,2.656382,3.625,5.0,1,5.0
175.0,180.0,177.5,2.656382,3.625,5.0,1,5.0
180.0,185.0,182.5,2.656382,3.625,5.0,1,5.0
185.0,187.101375,186.050687,2.656382,3.625,2.101375,1,5.0
