seconds,mos_pred_concat,mos_target_concat_durw
9.147687,2.809411,3.5
13.605937,2.901316,3.868628
18.412437,3.190208,3.968184
29.4335,2.964188,3.792877
42.967187,2.803679,3.700628
45.324,2.830623,3.696695
50.084063,2.893033,3.761162
57.804688,2.962555,3.843149
64.03125,2.960806,3.736848
68.83775,3.054527,3.772678
77.23175,3.101847,3.851728
87.053813,3.117815,3.967181
92.76725,3.073695,3.930709
101.393438,3.089883,3.968508
109.89625,3.011116,3.893573
114.5765,2.933202,3.882603
129.8535,2.895154,3.778766
140.69825,2.842752,3.757279
145.1565,2.850636,3.78393
159.309313,2.773828,3.736496
173.127062,2.711361,3.647785
181.59075,2.737587,3.675853
