seconds,mos_pred_concat,mos_target_concat_durw
4.964563,4.68962,4.25
14.816938,4.58878,4.25
23.675375,4.492049,4.20323
33.265188,4.13568,4.360855
39.6855,4.158076,4.403588
46.588938,4.203263,4.417874
51.704438,4.206377,4.438367
58.352438,4.207879,4.473871
60.082313,4.20949,4.471024
62.005063,4.211957,4.483551
66.532938,4.132484,4.45915
73.1345,4.066711,4.395138
77.7785,4.080272,4.401399
82.956563,4.027791,4.399751
84.465875,4.036469,4.40601
90.189625,4.051413,4.388176
96.512563,4.019347,4.395502
101.256563,4.028281,4.388685
103.179312,4.025873,4.397747
108.143875,4.042227,4.390965
114.432,4.008037,4.390087
124.284375,4.036086,4.378982
129.218625,4.044681,4.37883
135.820187,4.00855,4.348266
142.723625,4.025278,4.355605
150.4675,4.002995,4.36947
155.262437,3.969315,4.334897
164.31825,3.911983,4.32333
169.089937,3.921179,4.32126
176.520312,3.930025,4.270905
182.84325,3.915443,4.278828
