block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.82299,2.375,5.0,1,5.0
5.0,10.0,7.5,2.82299,2.375,5.0,1,5.0
10.0,15.0,12.5,3.437443,3.066875,5.0,2,5.0
15.0,20.0,17.5,4.488174,4.25,5.0,1,5.0
20.0,25.0,22.5,4.466826,4.449262,5.0,2,5.0
25.0,30.0,27.5,4.326925,4.620766,5.0,2,5.0
30.0,35.0,32.5,2.872306,2.875,5.0,1,5.0
35.0,40.0,37.5,2.872306,2.875,5.0,1,5.0
40.0,45.0,42.5,3.270953,3.287387,5.0,2,5.0
45.0,50.0,47.5,4.328004,4.377162,5.0,2,5.0
50.0,55.0,52.5,4.650549,4.5,5.0,1,5.0
55.0,60.0,57.5,4.588539,4.022541,5.0,2,5.0
60.0,65.0,62.5,4.525201,4.026762,5.0,2,5.0
65.0,70.0,67.5,3.99888,4.1119,5.0,2,5.0
70.0,75.0,72.5,2.875707,2.875,5.0,1,5.0
75.0,80.0,77.5,3.006133,3.26965,5.0,2,5.0
80.0,85.0,82.5,3.759916,3.976375,5.0,2,5.0
85.0,90.0,87.5,4.473313,4.40335,5.0,2,5.0
90.0,95.0,92.5,3.956017,4.194789,5.0,2,5.0
95.0,100.0,97.5,2.73396,3.625,5.0,1,5.0
100.0,105.0,102.5,2.580613,3.625,5.0,2,5.0
105.0,110.0,107.5,2.576003,3.625,5.0,1,5.0
110.0,115.0,112.5,3.178114,3.375797,5.0,2,5.0
115.0,120.0,117.5,3.180039,3.375,5.0,1,5.0
120.0,125.0,122.5,3.014568,3.166547,5.0,2,5.0
125.0,130.0,127.5,2.981588,3.125,5.0,1,5.0
130.0,135.0,132.5,4.513373,4.133914,5.0,2,5.0
135.0,140.0,137.5,4.507533,4.25,5.0,2,5.0
140.0,145.0,142.5,4.488174,4.25,5.0,1,5.0
145.0,150.0,147.5,2.895581,3.549931,5.0,2,5.0
150.0,155.0,152.5,2.781991,3.5,5.0,1,5.0
155.0,160.0,157.5,2.781991,3.5,5.0,1,5.0
160.0,165.0,162.5,3.042503,3.125966,5.0,2,5.0
165.0,170.0,167.5,3.043175,3.125,5.0,1,5.0
170.0,175.0,172.5,3.525841,3.727744,5.0,2,5.0
175.0,180.0,177.5,3.179063,3.129,5.0,3,5.0
180.0,181.488375,180.744188,4.444542,4.875,1.488375,1,5.0
