block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.050286,2.375,5.0,1,5.0
5.0,10.0,7.5,2.866929,2.375,5.0,1,5.0
10.0,15.0,12.5,3.125156,3.066875,5.0,2,5.0
15.0,20.0,17.5,4.41772,4.25,5.0,1,5.0
20.0,25.0,22.5,4.452238,4.449262,5.0,2,5.0
25.0,30.0,27.5,4.420837,4.620766,5.0,2,5.0
30.0,35.0,32.5,2.492271,2.875,5.0,1,5.0
35.0,40.0,37.5,3.013929,2.875,5.0,1,5.0
40.0,45.0,42.5,3.467791,3.287387,5.0,2,5.0
45.0,50.0,47.5,4.239889,4.377162,5.0,2,5.0
50.0,55.0,52.5,4.583915,4.5,5.0,1,5.0
55.0,60.0,57.5,4.55664,4.022541,5.0,2,5.0
60.0,65.0,62.5,4.490835,4.026762,5.0,2,5.0
65.0,70.0,67.5,3.925715,4.1119,5.0,2,5.0
70.0,75.0,72.5,2.652395,2.875,5.0,1,5.0
75.0,80.0,77.5,3.146933,3.26965,5.0,2,5.0
80.0,85.0,82.5,3.545835,3.976375,5.0,2,5.0
85.0,90.0,87.5,4.449282,4.40335,5.0,2,5.0
90.0,95.0,92.5,4.22641,4.194789,5.0,2,5.0
95.0,100.0,97.5,2.565782,3.625,5.0,1,5.0
100.0,105.0,102.5,2.656186,3.625,5.0,2,5.0
105.0,110.0,107.5,2.717377,3.625,5.0,1,5.0
110.0,115.0,112.5,3.350205,3.375797,5.0,2,5.0
115.0,120.0,117.5,2.96551,3.375,5.0,1,5.0
120.0,125.0,122.5,2.600512,3.166547,5.0,2,5.0
125.0,130.0,127.5,3.301558,3.125,5.0,1,5.0
130.0,135.0,132.5,3.901416,4.133914,5.0,2,5.0
135.0,140.0,137.5,4.359174,4.25,5.0,2,5.0
140.0,145.0,142.5,4.437571,4.25,5.0,1,5.0
145.0,150.0,147.5,2.82344,3.549931,5.0,2,5.0
150.0,155.0,152.5,2.662601,3.5,5.0,1,5.0
155.0,160.0,157.5,2.697165,3.5,5.0,1,5.0
160.0,165.0,162.5,3.002166,3.125966,5.0,2,5.0
165.0,170.0,167.5,3.169465,3.125,5.0,1,5.0
170.0,175.0,172.5,3.547796,3.727744,5.0,2,5.0
175.0,180.0,177.5,2.963359,3.129,5.0,3,5.0
180.0,181.488375,180.744188,4.346318,4.875,1.488375,1,5.0
