block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.716053,3.125,5.0,1,5.0
5.0,10.0,7.5,2.716053,3.125,5.0,1,5.0
10.0,15.0,12.5,4.13451,3.91845,5.0,2,5.0
15.0,20.0,17.5,3.133373,3.395212,5.0,2,5.0
20.0,25.0,22.5,2.391246,3.0,5.0,1,5.0
25.0,30.0,27.5,4.24964,4.402869,5.0,3,5.0
30.0,35.0,32.5,2.737821,3.5,5.0,1,5.0
35.0,40.0,37.5,2.737821,3.5,5.0,1,5.0
40.0,45.0,42.5,3.138099,3.877328,5.0,3,5.0
45.0,50.0,47.5,2.796275,3.5,5.0,1,5.0
50.0,55.0,52.5,2.796275,3.5,5.0,1,5.0
55.0,60.0,57.5,4.284148,4.407341,5.0,2,5.0
60.0,65.0,62.5,4.078472,3.645383,5.0,2,5.0
65.0,70.0,67.5,3.548563,3.131081,5.0,2,5.0
70.0,75.0,72.5,3.132909,3.567637,5.0,2,5.0
75.0,80.0,77.5,2.499136,2.625,5.0,1,5.0
80.0,85.0,82.5,2.499136,2.625,5.0,1,5.0
85.0,90.0,87.5,2.915773,3.689044,5.0,2,5.0
90.0,95.0,92.5,2.800518,3.731036,5.0,2,5.0
95.0,100.0,97.5,2.513786,3.25,5.0,1,5.0
100.0,105.0,102.5,2.513786,3.25,5.0,1,5.0
105.0,110.0,107.5,3.884983,4.084581,5.0,2,5.0
110.0,115.0,112.5,3.047916,3.80875,5.0,2,5.0
115.0,120.0,117.5,4.121752,4.034475,5.0,2,5.0
120.0,125.0,122.5,4.370096,4.07183,5.0,2,5.0
125.0,130.0,127.5,2.690169,3.0,5.0,1,5.0
130.0,135.0,132.5,2.690169,3.0,5.0,1,5.0
135.0,140.0,137.5,2.690169,3.0,5.0,1,5.0
140.0,145.0,142.5,3.750997,4.735759,5.0,2,5.0
145.0,150.0,147.5,3.712355,4.648387,5.0,2,5.0
150.0,155.0,152.5,3.119044,3.375,5.0,1,5.0
155.0,160.0,157.5,3.321107,3.79413,5.0,3,5.0
160.0,165.0,162.5,2.750149,3.5,5.0,1,5.0
165.0,170.0,167.5,2.951565,3.395928,5.0,2,5.0
170.0,175.0,172.5,3.039829,3.364325,5.0,2,5.0
175.0,180.0,177.5,2.809411,3.5,5.0,1,5.0
180.0,181.861187,180.930594,2.809411,3.5,1.861187,1,5.0
