block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.843529,3.5,5.0,1,5.0
5.0,10.0,7.5,3.226592,3.436077,5.0,2,5.0
10.0,15.0,12.5,3.132555,3.125,5.0,1,5.0
15.0,20.0,17.5,3.575283,3.212548,5.0,2,5.0
20.0,25.0,22.5,3.48924,3.5,5.0,1,5.0
25.0,30.0,27.5,2.543875,3.508064,5.0,2,5.0
30.0,35.0,32.5,2.981099,3.625,5.0,1,5.0
35.0,40.0,37.5,3.1087,3.602372,5.0,2,5.0
40.0,45.0,42.5,3.449589,3.375,5.0,1,5.0
45.0,50.0,47.5,3.395607,3.611956,5.0,2,5.0
50.0,55.0,52.5,2.606619,3.010109,5.0,2,5.0
55.0,60.0,57.5,3.27147,3.0,5.0,1,5.0
60.0,65.0,62.5,3.402808,3.0,5.0,1,5.0
65.0,70.0,67.5,3.000538,3.464212,5.0,2,5.0
70.0,75.0,72.5,3.215016,3.5,5.0,1,5.0
75.0,80.0,77.5,2.859949,3.5,5.0,1,5.0
80.0,85.0,82.5,2.869492,3.581772,5.0,3,5.0
85.0,90.0,87.5,2.633044,2.943766,5.0,2,5.0
90.0,95.0,92.5,2.937192,3.25,5.0,1,5.0
95.0,100.0,97.5,2.98886,3.25,5.0,1,5.0
100.0,105.0,102.5,3.204901,3.205898,5.0,2,5.0
105.0,110.0,107.5,2.869237,3.125,5.0,1,5.0
110.0,115.0,112.5,3.191457,3.125,5.0,1,5.0
115.0,120.0,117.5,3.044869,2.775094,5.0,2,5.0
120.0,125.0,122.5,2.798145,2.625,5.0,1,5.0
125.0,130.0,127.5,2.955271,2.625,5.0,1,5.0
130.0,135.0,132.5,2.982081,2.859066,5.0,2,5.0
135.0,140.0,137.5,2.935033,2.875,5.0,1,5.0
140.0,145.0,142.5,3.459244,2.857217,5.0,2,5.0
145.0,150.0,147.5,3.548277,2.75,5.0,1,5.0
150.0,155.0,152.5,3.689446,3.534831,5.0,2,5.0
155.0,160.0,157.5,3.048545,3.560131,5.0,2,5.0
160.0,165.0,162.5,2.947312,3.5,5.0,1,5.0
165.0,170.0,167.5,3.354692,3.460658,5.0,2,5.0
170.0,175.0,172.5,3.631858,3.375,5.0,1,5.0
175.0,180.0,177.5,2.759643,3.393967,5.0,2,5.0
180.0,185.0,182.5,3.354674,3.5,5.0,1,5.0
185.0,190.0,187.5,2.901913,3.5,5.0,1,5.0
190.0,192.775,191.3875,3.781741,3.5,2.775,1,5.0
