block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.863864,3.0,5.0,1,5.0
5.0,10.0,7.5,2.892653,2.887711,5.0,2,5.0
10.0,15.0,12.5,2.606313,2.625,5.0,1,5.0
15.0,20.0,17.5,2.762261,2.625,5.0,1,5.0
20.0,25.0,22.5,3.174842,3.093902,5.0,2,5.0
25.0,30.0,27.5,2.95418,3.5,5.0,1,5.0
30.0,35.0,32.5,3.250608,3.251244,5.0,2,5.0
35.0,40.0,37.5,3.686073,2.868748,5.0,2,5.0
40.0,45.0,42.5,4.33788,4.170197,5.0,2,5.0
45.0,50.0,47.5,3.10703,3.227133,5.0,2,5.0
50.0,55.0,52.5,3.068212,3.0,5.0,1,5.0
55.0,60.0,57.5,3.229336,3.0,5.0,1,5.0
60.0,65.0,62.5,4.154703,3.876839,5.0,2,5.0
65.0,70.0,67.5,3.472614,3.807669,5.0,2,5.0
70.0,75.0,72.5,2.781448,3.537673,5.0,2,5.0
75.0,80.0,77.5,3.193125,3.5,5.0,1,5.0
80.0,85.0,82.5,3.525968,3.391366,5.0,2,5.0
85.0,90.0,87.5,3.327692,3.193403,5.0,2,5.0
90.0,95.0,92.5,3.240792,3.125,5.0,1,5.0
95.0,100.0,97.5,3.389483,3.319939,5.0,2,5.0
100.0,105.0,102.5,2.664032,3.5,5.0,1,5.0
105.0,110.0,107.5,3.142598,3.5,5.0,1,5.0
110.0,115.0,112.5,4.142654,4.414738,5.0,2,5.0
115.0,120.0,117.5,3.733694,3.897573,5.0,2,5.0
120.0,125.0,122.5,3.516014,3.25,5.0,2,5.0
125.0,130.0,127.5,3.16994,3.25,5.0,1,5.0
130.0,135.0,132.5,2.901975,3.25,5.0,1,5.0
135.0,140.0,137.5,4.109069,4.195122,5.0,3,5.0
140.0,145.0,142.5,4.155415,3.980572,5.0,2,5.0
145.0,150.0,147.5,2.904015,3.5,5.0,1,5.0
150.0,155.0,152.5,3.290147,3.746597,5.0,2,5.0
155.0,160.0,157.5,4.092383,4.313447,5.0,2,5.0
160.0,165.0,162.5,4.369034,4.125,5.0,1,5.0
165.0,170.0,167.5,4.297645,4.421578,5.0,2,5.0
170.0,175.0,172.5,4.370077,4.75,5.0,1,5.0
175.0,180.0,177.5,4.309118,4.610859,5.0,2,5.0
180.0,181.861187,180.930594,4.549134,4.5,1.861187,1,5.0
