block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.86133,3.5,5.0,1,5.0
5.0,10.0,7.5,2.964733,3.457384,5.0,2,5.0
10.0,15.0,12.5,3.195546,3.25,5.0,1,5.0
15.0,20.0,17.5,2.929086,3.25,5.0,1,5.0
20.0,25.0,22.5,3.276314,3.165025,5.0,2,5.0
25.0,30.0,27.5,2.573264,3.0,5.0,1,5.0
30.0,35.0,32.5,3.369496,3.0,5.0,1,5.0
35.0,40.0,37.5,2.703345,3.0,5.0,1,5.0
40.0,45.0,42.5,3.014153,2.906302,5.0,2,5.0
45.0,50.0,47.5,2.403845,2.625,5.0,1,5.0
50.0,55.0,52.5,2.716554,2.625,5.0,1,5.0
55.0,60.0,57.5,3.605097,3.050523,5.0,2,5.0
60.0,65.0,62.5,2.976968,3.5,5.0,1,5.0
65.0,70.0,67.5,2.492949,3.53967,5.0,2,5.0
70.0,75.0,72.5,2.605484,3.625,5.0,1,5.0
75.0,80.0,77.5,2.678697,3.625,5.0,1,5.0
80.0,85.0,82.5,3.127056,3.625,5.0,1,5.0
85.0,90.0,87.5,3.102293,3.483669,5.0,2,5.0
90.0,95.0,92.5,2.633009,3.216511,5.0,2,5.0
95.0,100.0,97.5,3.056597,3.0,5.0,1,5.0
100.0,105.0,102.5,3.261904,2.9267,5.0,2,5.0
105.0,110.0,107.5,2.997875,2.5,5.0,1,5.0
110.0,115.0,112.5,2.238666,2.614073,5.0,2,5.0
115.0,120.0,117.5,2.984983,2.625,5.0,1,5.0
120.0,125.0,122.5,3.338703,2.625,5.0,1,5.0
125.0,130.0,127.5,3.352923,2.70782,5.0,2,5.0
130.0,135.0,132.5,2.803356,3.115094,5.0,2,5.0
135.0,140.0,137.5,3.191579,3.20395,5.0,2,5.0
140.0,145.0,142.5,3.090175,2.782547,5.0,2,5.0
145.0,150.0,147.5,3.247588,3.0,5.0,1,5.0
150.0,155.0,152.5,3.049919,3.0,5.0,1,5.0
155.0,160.0,157.5,2.797215,3.0,5.0,2,5.0
160.0,165.0,162.5,3.172271,3.0,5.0,1,5.0
165.0,170.0,167.5,2.680548,3.0,5.0,1,5.0
170.0,175.0,172.5,3.379669,2.624833,5.0,2,5.0
175.0,180.0,177.5,2.476122,2.125,5.0,1,5.0
180.0,185.0,182.5,2.331932,2.125,5.0,1,5.0
185.0,187.101375,186.050687,2.754869,2.125,2.101375,1,5.0
