block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.384006,3.5,5.0,1,5.0
5.0,10.0,7.5,3.047525,3.5,5.0,1,5.0
10.0,15.0,12.5,3.484355,3.463342,5.0,2,5.0
15.0,20.0,17.5,3.72491,3.375,5.0,1,5.0
20.0,25.0,22.5,2.945425,3.391283,5.0,2,5.0
25.0,30.0,27.5,3.044393,3.5,5.0,1,5.0
30.0,35.0,32.5,2.90135,3.5,5.0,1,5.0
35.0,40.0,37.5,3.599382,3.615756,5.0,2,5.0
40.0,45.0,42.5,2.874742,3.145456,5.0,2,5.0
45.0,50.0,47.5,3.291335,2.787842,5.0,2,5.0
50.0,55.0,52.5,2.908386,2.875,5.0,1,5.0
55.0,60.0,57.5,3.241097,2.875,5.0,1,5.0
60.0,65.0,62.5,3.46404,2.747816,5.0,2,5.0
65.0,70.0,67.5,2.545774,2.625,5.0,1,5.0
70.0,75.0,72.5,3.067428,2.625,5.0,1,5.0
75.0,80.0,77.5,3.152414,2.997594,5.0,2,5.0
80.0,85.0,82.5,2.964907,3.125,5.0,1,5.0
85.0,90.0,87.5,2.988412,3.136523,5.0,2,5.0
90.0,95.0,92.5,2.61173,3.25,5.0,1,5.0
95.0,100.0,97.5,2.741149,3.25,5.0,1,5.0
100.0,105.0,102.5,3.5238,3.151891,5.0,2,5.0
105.0,110.0,107.5,2.929851,3.166469,5.0,2,5.0
110.0,115.0,112.5,2.909945,3.568428,5.0,2,5.0
115.0,120.0,117.5,3.079401,3.5,5.0,1,5.0
120.0,125.0,122.5,2.914444,3.5,5.0,1,5.0
125.0,130.0,127.5,2.900824,3.241712,5.0,2,5.0
130.0,135.0,132.5,3.220035,3.0,5.0,1,5.0
135.0,140.0,137.5,3.44319,3.0,5.0,1,5.0
140.0,145.0,142.5,3.611252,3.288234,5.0,2,5.0
145.0,150.0,147.5,3.351933,3.500706,5.0,2,5.0
150.0,155.0,152.5,2.974658,3.463622,5.0,2,5.0
155.0,160.0,157.5,3.031521,3.625,5.0,1,5.0
160.0,165.0,162.5,3.448012,3.577439,5.0,2,5.0
165.0,170.0,167.5,2.757201,3.5,5.0,1,5.0
170.0,175.0,172.5,2.652827,3.420673,5.0,2,5.0
175.0,180.0,177.5,3.142043,3.125,5.0,1,5.0
180.0,185.0,182.5,2.991493,3.227952,5.0,2,5.0
185.0,190.0,187.5,3.281942,3.5,5.0,1,5.0
190.0,192.775,191.3875,3.057483,3.5,2.775,1,5.0
