block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.407907,4.75,5.0,1,5.0
5.0,10.0,7.5,3.386287,3.074,5.0,2,5.0
10.0,15.0,12.5,2.884012,2.25,5.0,1,5.0
15.0,20.0,17.5,2.884012,2.25,5.0,1,5.0
20.0,25.0,22.5,4.241983,4.142047,5.0,2,5.0
25.0,30.0,27.5,3.437407,3.504969,5.0,2,5.0
30.0,35.0,32.5,2.873388,3.0,5.0,1,5.0
35.0,40.0,37.5,3.456783,3.579658,5.0,2,5.0
40.0,45.0,42.5,4.000743,4.291387,5.0,2,5.0
45.0,50.0,47.5,2.985774,3.625,5.0,1,5.0
50.0,55.0,52.5,2.985774,3.625,5.0,1,5.0
55.0,60.0,57.5,2.985774,3.625,5.0,1,5.0
60.0,65.0,62.5,3.831679,3.988484,5.0,2,5.0
65.0,70.0,67.5,3.148385,3.221741,5.0,2,5.0
70.0,75.0,72.5,2.398645,2.625,5.0,1,5.0
75.0,80.0,77.5,2.398645,2.625,5.0,1,5.0
80.0,85.0,82.5,3.310426,3.342656,5.0,2,5.0
85.0,90.0,87.5,4.777443,4.495875,5.0,2,5.0
90.0,95.0,92.5,3.139154,2.5,5.0,1,5.0
95.0,100.0,97.5,4.376559,4.0361,5.0,2,5.0
100.0,105.0,102.5,3.995868,3.744806,5.0,2,5.0
105.0,110.0,107.5,3.251859,3.0,5.0,1,5.0
110.0,115.0,112.5,3.251859,3.0,5.0,1,5.0
115.0,120.0,117.5,3.251859,3.0,5.0,1,5.0
120.0,125.0,122.5,3.899047,3.516781,5.0,2,5.0
125.0,130.0,127.5,4.2904,3.619231,5.0,2,5.0
130.0,135.0,132.5,3.631833,2.8195,5.0,2,5.0
135.0,140.0,137.5,4.535745,3.75,5.0,1,5.0
140.0,145.0,142.5,3.394502,3.188109,5.0,2,5.0
145.0,150.0,147.5,3.012438,3.0,5.0,1,5.0
150.0,155.0,152.5,3.159796,3.128953,5.0,2,5.0
155.0,160.0,157.5,4.440845,4.25,5.0,1,5.0
160.0,165.0,162.5,4.206345,3.968039,5.0,2,5.0
165.0,170.0,167.5,2.673535,2.125,5.0,1,5.0
170.0,175.0,172.5,2.673535,2.125,5.0,1,5.0
175.0,180.0,177.5,3.221506,2.905038,5.0,2,5.0
180.0,180.5045,180.25225,4.60539,4.875,0.5045,1,5.0
