block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.724532,4.25,5.0,1,5.0
5.0,10.0,7.5,3.730816,3.635475,5.0,2,5.0
10.0,15.0,12.5,2.879413,2.25,5.0,1,5.0
15.0,20.0,17.5,2.527051,2.25,5.0,1,5.0
20.0,25.0,22.5,3.6108,3.37038,5.0,2,5.0
25.0,30.0,27.5,2.867214,4.375,5.0,1,5.0
30.0,35.0,32.5,2.059602,3.02322,5.0,2,5.0
35.0,40.0,37.5,2.304567,3.0,5.0,1,5.0
40.0,45.0,42.5,3.405863,3.441922,5.0,3,5.0
45.0,50.0,47.5,2.511082,3.625,5.0,1,5.0
50.0,55.0,52.5,2.166254,3.625,5.0,1,5.0
55.0,60.0,57.5,2.162066,3.625,5.0,1,5.0
60.0,65.0,62.5,3.196079,3.987756,5.0,2,5.0
65.0,70.0,67.5,3.431707,4.375,5.0,1,5.0
70.0,75.0,72.5,3.017037,3.047734,5.0,2,5.0
75.0,80.0,77.5,1.774557,2.625,5.0,1,5.0
80.0,85.0,82.5,3.039834,2.625,5.0,1,5.0
85.0,90.0,87.5,3.551283,3.514722,5.0,2,5.0
90.0,95.0,92.5,3.674062,3.33175,5.0,2,5.0
95.0,100.0,97.5,3.075968,3.26567,5.0,2,5.0
100.0,105.0,102.5,3.10603,4.875,5.0,1,5.0
105.0,110.0,107.5,3.225704,4.203797,5.0,2,5.0
110.0,115.0,112.5,2.244435,3.0,5.0,1,5.0
115.0,120.0,117.5,3.452407,3.0,5.0,1,5.0
120.0,125.0,122.5,1.723004,3.0,5.0,1,5.0
125.0,130.0,127.5,3.24578,3.401906,5.0,2,5.0
130.0,135.0,132.5,2.74763,4.5,5.0,1,5.0
135.0,140.0,137.5,4.112094,3.469009,5.0,2,5.0
140.0,145.0,142.5,3.355059,3.196484,5.0,2,5.0
145.0,150.0,147.5,2.480447,4.061978,5.0,2,5.0
150.0,155.0,152.5,2.968899,3.0,5.0,1,5.0
155.0,160.0,157.5,2.397845,3.0,5.0,1,5.0
160.0,165.0,162.5,3.660844,3.875562,5.0,2,5.0
165.0,170.0,167.5,3.174163,2.679306,5.0,2,5.0
170.0,175.0,172.5,2.403574,2.125,5.0,1,5.0
175.0,180.0,177.5,2.021616,2.125,5.0,1,5.0
180.0,180.549438,180.274719,3.215994,2.125,0.549438,1,5.0
