elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.147687,2.952988,3.5
18.832687,3.058824,3.30715
29.677437,2.997909,3.377622
39.547437,3.035906,3.439361
45.260875,3.096445,3.431236
50.080875,3.127716,3.449885
65.357875,3.088191,3.344727
80.037875,3.067087,3.373206
84.718125,3.051903,3.387117
89.083125,3.054155,3.362023
103.235937,3.025449,3.346666
116.500937,3.030125,3.321427
130.318687,3.034273,3.247584
144.288687,3.035586,3.211511
150.51525,3.066729,3.192419
157.40525,3.085673,3.211354
168.426312,3.081904,3.230241
179.241312,3.098924,3.238976
192.775,3.122653,3.257301
