block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.952988,3.5,5.0,1,5.0
5.0,10.0,7.5,3.199198,3.627847,5.0,2,5.0
10.0,15.0,12.5,3.951984,4.093128,5.0,2,5.0
15.0,20.0,17.5,2.268057,3.5,5.0,1,5.0
20.0,25.0,22.5,2.303083,3.545239,5.0,2,5.0
25.0,30.0,27.5,3.00696,4.439297,5.0,2,5.0
30.0,35.0,32.5,2.257392,3.381609,5.0,2,5.0
35.0,40.0,37.5,3.549441,4.5,5.0,1,5.0
40.0,45.0,42.5,3.154128,4.009387,5.0,2,5.0
45.0,50.0,47.5,2.340809,3.0,5.0,1,5.0
50.0,55.0,52.5,2.340809,3.0,5.0,1,5.0
55.0,60.0,57.5,2.552225,3.509391,5.0,2,5.0
60.0,65.0,62.5,3.119004,4.875,5.0,1,5.0
65.0,70.0,67.5,2.815707,4.490922,5.0,2,5.0
70.0,75.0,72.5,2.948275,3.903409,5.0,2,5.0
75.0,80.0,77.5,3.316505,3.9034,5.0,2,5.0
80.0,85.0,82.5,1.910793,3.25,5.0,1,5.0
85.0,90.0,87.5,1.910793,3.25,5.0,1,5.0
90.0,95.0,92.5,2.823328,3.912217,5.0,2,5.0
95.0,100.0,97.5,3.461042,4.375,5.0,1,5.0
100.0,105.0,102.5,2.335714,2.86405,5.0,2,5.0
105.0,110.0,107.5,2.157674,2.625,5.0,1,5.0
110.0,115.0,112.5,2.346883,2.72485,5.0,2,5.0
115.0,120.0,117.5,3.886563,3.075073,5.0,2,5.0
120.0,125.0,122.5,3.724348,3.372659,5.0,2,5.0
125.0,130.0,127.5,3.621225,4.375,5.0,1,5.0
130.0,135.0,132.5,2.254621,3.640831,5.0,2,5.0
135.0,140.0,137.5,1.992473,3.5,5.0,1,5.0
140.0,145.0,142.5,2.697335,3.976128,5.0,2,5.0
145.0,150.0,147.5,3.102776,4.25,5.0,1,5.0
150.0,155.0,152.5,2.063981,3.543425,5.0,2,5.0
155.0,160.0,157.5,2.000139,3.5,5.0,1,5.0
160.0,165.0,162.5,2.564353,3.676522,5.0,2,5.0
165.0,170.0,167.5,3.675141,3.907422,5.0,2,5.0
170.0,175.0,172.5,1.762147,3.0,5.0,1,5.0
175.0,180.0,177.5,2.551818,3.931938,5.0,2,5.0
180.0,181.59075,180.795375,3.139081,4.625,1.59075,1,5.0
