block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.631289,3.291012,5.0,2,5.0
5.0,10.0,7.5,4.410122,4.259964,5.0,2,5.0
10.0,15.0,12.5,4.546566,4.558434,5.0,2,5.0
15.0,20.0,17.5,4.471725,4.730261,5.0,2,5.0
20.0,25.0,22.5,4.458437,4.75,5.0,1,5.0
25.0,30.0,27.5,4.438023,4.518969,5.0,2,5.0
30.0,35.0,32.5,4.425078,4.408003,5.0,2,5.0
35.0,40.0,37.5,4.390414,4.125,5.0,1,5.0
40.0,45.0,42.5,4.497841,4.480228,5.0,2,5.0
45.0,50.0,47.5,4.617226,4.875,5.0,1,5.0
50.0,55.0,52.5,4.471337,4.620387,5.0,2,5.0
55.0,60.0,57.5,4.330923,4.375,5.0,2,5.0
60.0,65.0,62.5,4.284667,4.375,5.0,2,5.0
65.0,70.0,67.5,4.346056,4.375,5.0,2,5.0
70.0,75.0,72.5,4.429895,4.375,5.0,1,5.0
75.0,80.0,77.5,4.537766,4.172622,5.0,2,5.0
80.0,85.0,82.5,4.277136,4.105606,5.0,3,5.0
85.0,90.0,87.5,4.459671,4.587872,5.0,2,5.0
90.0,95.0,92.5,4.46764,4.375,5.0,1,5.0
95.0,100.0,97.5,4.329206,4.450383,5.0,3,5.0
100.0,105.0,102.5,3.974753,4.25,5.0,1,5.0
105.0,110.0,107.5,4.345401,4.402447,5.0,2,5.0
110.0,115.0,112.5,4.456444,4.329753,5.0,2,5.0
115.0,120.0,117.5,4.552394,4.160039,5.0,2,5.0
120.0,125.0,122.5,4.57242,4.412469,5.0,2,5.0
125.0,130.0,127.5,4.225649,3.600069,5.0,2,5.0
130.0,135.0,132.5,4.14927,3.396167,5.0,2,5.0
135.0,140.0,137.5,4.436347,4.5,5.0,1,5.0
140.0,145.0,142.5,4.424861,4.370397,5.0,2,5.0
145.0,150.0,147.5,4.528718,4.602547,5.0,2,5.0
150.0,155.0,152.5,4.617226,4.875,5.0,1,5.0
155.0,160.0,157.5,4.580072,4.425253,5.0,2,5.0
160.0,165.0,162.5,4.555268,4.125,5.0,1,5.0
165.0,170.0,167.5,4.378508,4.322125,5.0,2,5.0
170.0,175.0,172.5,4.533103,4.584122,5.0,2,5.0
175.0,180.0,177.5,4.531535,4.553072,5.0,2,5.0
180.0,185.0,182.5,4.429895,4.375,5.0,1,5.0
185.0,187.187625,186.093813,4.429895,4.375,2.187625,1,5.0
