block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.6643,3.797962,5.0,2,5.0
5.0,10.0,7.5,3.129899,3.125,5.0,1,5.0
10.0,15.0,12.5,4.128985,3.888256,5.0,2,5.0
15.0,20.0,17.5,4.333571,4.25,5.0,1,5.0
20.0,25.0,22.5,3.514394,3.807516,5.0,2,5.0
25.0,30.0,27.5,3.01581,3.625,5.0,1,5.0
30.0,35.0,32.5,3.502895,3.716747,5.0,2,5.0
35.0,40.0,37.5,4.061607,3.698292,5.0,2,5.0
40.0,45.0,42.5,3.720121,3.906039,5.0,2,5.0
45.0,50.0,47.5,3.758482,3.907438,5.0,2,5.0
50.0,55.0,52.5,2.893899,3.5,5.0,1,5.0
55.0,60.0,57.5,2.920476,3.5,5.0,1,5.0
60.0,65.0,62.5,3.897386,4.02075,5.0,2,5.0
65.0,70.0,67.5,3.650122,4.083736,5.0,2,5.0
70.0,75.0,72.5,3.454938,3.497639,5.0,2,5.0
75.0,80.0,77.5,4.616343,4.496597,5.0,2,5.0
80.0,85.0,82.5,3.171854,3.125,5.0,1,5.0
85.0,90.0,87.5,3.050799,3.125,5.0,1,5.0
90.0,95.0,92.5,3.529749,3.518159,5.0,2,5.0
95.0,100.0,97.5,3.63296,3.699072,5.0,2,5.0
100.0,105.0,102.5,2.687395,2.875,5.0,1,5.0
105.0,110.0,107.5,3.037148,2.875,5.0,1,5.0
110.0,115.0,112.5,3.991047,3.936681,5.0,2,5.0
115.0,120.0,117.5,3.985994,4.041425,5.0,2,5.0
120.0,125.0,122.5,2.77484,3.779181,5.0,2,5.0
125.0,130.0,127.5,4.487503,4.375,5.0,1,5.0
130.0,135.0,132.5,3.527441,3.42705,5.0,2,5.0
135.0,140.0,137.5,2.765006,3.375,5.0,1,5.0
140.0,145.0,142.5,3.881677,4.454306,5.0,2,5.0
145.0,150.0,147.5,3.910444,3.668544,5.0,2,5.0
150.0,155.0,152.5,2.965451,2.375,5.0,1,5.0
155.0,160.0,157.5,3.055747,2.375,5.0,1,5.0
160.0,165.0,162.5,3.620517,3.556275,5.0,3,5.0
165.0,170.0,167.5,2.730514,2.875,5.0,1,5.0
170.0,175.0,172.5,3.855372,3.8001,5.0,2,5.0
175.0,180.0,177.5,4.411622,4.25,5.0,1,5.0
180.0,181.488375,180.744188,4.66188,4.25,1.488375,1,5.0
