seconds,mos_pred_concat,mos_target_concat_durw
1.92275,4.672359,4.875
6.72925,4.457668,4.428581
16.581625,4.49401,4.322473
21.039875,4.489076,4.386577
27.641437,4.505327,4.234544
36.035438,4.480591,4.296379
41.0,4.495124,4.290763
50.822063,4.48934,4.403675
57.145,4.496301,4.414333
61.905062,4.448028,4.411308
68.8085,4.464137,4.420207
77.434687,4.458755,4.415171
82.178687,4.461884,4.405636
84.5355,4.437575,4.383872
89.651,4.431429,4.397631
97.371625,4.427678,4.395836
103.65975,4.413427,4.394572
112.123437,4.379668,4.383659
118.771437,4.377635,4.404165
123.577937,4.380552,4.398168
125.500687,4.382559,4.405474
129.958937,4.387757,4.413005
139.811312,4.393881,4.401518
148.205312,4.392786,4.407096
154.806875,4.394541,4.379075
164.628937,4.39977,4.408662
169.5935,4.402648,4.404018
174.353562,4.39675,4.403226
180.6765,4.398077,4.406612
