block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.087068,3.125,5.0,1,5.0
5.0,10.0,7.5,3.109152,3.125,5.0,1,5.0
10.0,15.0,12.5,3.25718,3.21175,5.0,2,5.0
15.0,20.0,17.5,3.39975,3.375,5.0,1,5.0
20.0,25.0,22.5,2.615294,3.283,5.0,2,5.0
25.0,30.0,27.5,3.030602,3.0305,5.0,2,5.0
30.0,35.0,32.5,3.36211,3.248766,5.0,2,5.0
35.0,40.0,37.5,2.822111,2.625,5.0,1,5.0
40.0,45.0,42.5,2.88269,2.625,5.0,1,5.0
45.0,50.0,47.5,3.294366,3.029762,5.0,2,5.0
50.0,55.0,52.5,3.377989,3.239333,5.0,2,5.0
55.0,60.0,57.5,3.390619,2.921019,5.0,2,5.0
60.0,65.0,62.5,2.895602,3.625,5.0,1,5.0
65.0,70.0,67.5,2.906077,3.522819,5.0,2,5.0
70.0,75.0,72.5,3.176933,3.5,5.0,1,5.0
75.0,80.0,77.5,3.57903,3.5,5.0,2,5.0
80.0,85.0,82.5,3.001119,3.5,5.0,1,5.0
85.0,90.0,87.5,2.809314,3.5,5.0,1,5.0
90.0,95.0,92.5,2.91564,3.584655,5.0,2,5.0
95.0,100.0,97.5,2.944274,3.625,5.0,1,5.0
100.0,105.0,102.5,3.32972,3.537095,5.0,2,5.0
105.0,110.0,107.5,3.356889,3.5,5.0,1,5.0
110.0,115.0,112.5,3.550943,3.5,5.0,1,5.0
115.0,120.0,117.5,3.503928,3.5,5.0,2,5.0
120.0,125.0,122.5,2.667003,3.5,5.0,1,5.0
125.0,130.0,127.5,2.958599,3.189669,5.0,2,5.0
130.0,135.0,132.5,3.256398,3.125,5.0,1,5.0
135.0,140.0,137.5,2.741451,3.570275,5.0,2,5.0
140.0,145.0,142.5,3.048949,3.505687,5.0,2,5.0
145.0,150.0,147.5,3.223273,3.468759,5.0,2,5.0
150.0,155.0,152.5,2.693432,3.25,5.0,1,5.0
155.0,160.0,157.5,2.874856,3.25,5.0,1,5.0
160.0,165.0,162.5,2.968938,3.1764,5.0,2,5.0
165.0,170.0,167.5,3.213617,3.0,5.0,1,5.0
170.0,175.0,172.5,3.128138,3.0,5.0,1,5.0
175.0,180.0,177.5,3.495124,2.970125,5.0,2,5.0
180.0,185.0,182.5,2.752953,2.875,5.0,1,5.0
185.0,190.0,187.5,3.032511,2.875,5.0,1,5.0
190.0,192.775,191.3875,3.606528,2.875,2.775,1,5.0
