seconds,mos_pred_concat,mos_target_concat_durw
13.533687,1.995152,3.5
19.247125,2.035699,3.462894
28.394813,2.159546,3.474848
33.510312,2.340157,3.650424
40.111875,2.410468,3.666812
44.855875,2.60077,3.728491
55.700625,2.515364,3.684004
60.380875,2.438262,3.679431
67.028875,2.5639,3.785611
81.181687,2.396655,3.692235
88.085125,2.520595,3.755542
97.9375,2.649691,3.805283
108.958562,2.558964,3.774404
117.461375,2.46975,3.718347
128.494125,2.453152,3.667401
134.720687,2.462013,3.625
149.997687,2.458287,3.561345
151.920437,2.469942,3.577971
156.885,2.514953,3.599237
170.70275,2.46915,3.520376
177.025687,2.48713,3.555366
178.948437,2.498707,3.569545
185.236562,2.544806,3.596887
