block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.816847,4.25,5.0,2,5.0
5.0,10.0,7.5,4.398867,4.25,5.0,2,5.0
10.0,15.0,12.5,4.416378,4.302805,5.0,2,5.0
15.0,20.0,17.5,4.606136,4.875,5.0,1,5.0
20.0,25.0,22.5,4.589161,4.814963,5.0,2,5.0
25.0,30.0,27.5,4.464767,4.375,5.0,1,5.0
30.0,35.0,32.5,4.577973,4.44765,5.0,3,5.0
35.0,40.0,37.5,4.639146,3.75,5.0,1,5.0
40.0,45.0,42.5,4.081915,4.185544,5.0,2,5.0
45.0,50.0,47.5,4.073639,4.294588,5.0,2,5.0
50.0,55.0,52.5,4.415422,4.5,5.0,1,5.0
55.0,60.0,57.5,4.491638,4.562444,5.0,2,5.0
60.0,65.0,62.5,4.325253,4.154909,5.0,3,5.0
65.0,70.0,67.5,4.606136,4.875,5.0,1,5.0
70.0,75.0,72.5,4.614828,4.849578,5.0,2,5.0
75.0,80.0,77.5,4.812106,4.261941,5.0,2,5.0
80.0,85.0,82.5,4.658105,4.5,5.0,1,5.0
85.0,90.0,87.5,4.572126,4.333231,5.0,2,5.0
90.0,95.0,92.5,4.529216,4.25,5.0,1,5.0
95.0,100.0,97.5,4.50972,4.511225,5.0,2,5.0
100.0,105.0,102.5,4.61154,4.323144,5.0,2,5.0
105.0,110.0,107.5,4.577407,4.678075,5.0,2,5.0
110.0,115.0,112.5,4.442058,4.552544,5.0,2,5.0
115.0,120.0,117.5,4.3803,4.375,5.0,2,5.0
120.0,125.0,122.5,4.417878,4.375,5.0,1,5.0
125.0,130.0,127.5,4.53347,4.567275,5.0,3,5.0
130.0,135.0,132.5,4.471188,4.349109,5.0,2,5.0
135.0,140.0,137.5,4.529216,4.25,5.0,1,5.0
140.0,145.0,142.5,4.481966,4.279581,5.0,2,5.0
145.0,150.0,147.5,4.427185,4.41058,5.0,2,5.0
150.0,155.0,152.5,4.6674,4.5,5.0,2,5.0
155.0,160.0,157.5,4.415422,4.5,5.0,1,5.0
160.0,165.0,162.5,4.444704,4.542656,5.0,2,5.0
165.0,170.0,167.5,4.578258,4.5688,5.0,2,5.0
170.0,175.0,172.5,4.666375,4.361241,5.0,2,5.0
175.0,180.0,177.5,4.639146,3.75,5.0,1,5.0
180.0,180.6765,180.33825,4.639146,3.75,0.6765,1,5.0
