block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,2.867801,4.375,5.0,1,5.0
5.0,10.0,7.5,4.323385,4.375,5.0,2,5.0
10.0,15.0,12.5,3.653343,4.375,5.0,1,5.0
15.0,20.0,17.5,2.223664,3.187714,5.0,2,5.0
20.0,25.0,22.5,2.449358,2.844906,5.0,2,5.0
25.0,30.0,27.5,1.65567,3.0,5.0,1,5.0
30.0,35.0,32.5,2.003543,3.064742,5.0,2,5.0
35.0,40.0,37.5,3.081962,3.229859,5.0,2,5.0
40.0,45.0,42.5,2.360713,3.0,5.0,1,5.0
45.0,50.0,47.5,2.191066,3.0,5.0,1,5.0
50.0,55.0,52.5,3.689948,4.4793,5.0,2,5.0
55.0,60.0,57.5,3.216575,4.0389,5.0,2,5.0
60.0,65.0,62.5,2.152832,3.0,5.0,1,5.0
65.0,70.0,67.5,3.261722,3.0,5.0,1,5.0
70.0,75.0,72.5,1.584352,3.0,5.0,1,5.0
75.0,80.0,77.5,2.737972,2.918489,5.0,2,5.0
80.0,85.0,82.5,2.25257,2.625,5.0,1,5.0
85.0,90.0,87.5,2.062182,2.625,5.0,1,5.0
90.0,95.0,92.5,3.155521,2.625,5.0,1,5.0
95.0,100.0,97.5,2.344229,2.141331,5.0,2,5.0
100.0,105.0,102.5,1.948783,2.125,5.0,1,5.0
105.0,110.0,107.5,1.791739,2.30245,5.0,2,5.0
110.0,115.0,112.5,2.568466,3.625,5.0,1,5.0
115.0,120.0,117.5,2.038375,3.625,5.0,1,5.0
120.0,125.0,122.5,1.928661,3.625,5.0,1,5.0
125.0,130.0,127.5,2.89523,4.082828,5.0,2,5.0
130.0,135.0,132.5,2.869347,4.875,5.0,1,5.0
135.0,140.0,137.5,3.808337,4.674075,5.0,2,5.0
140.0,145.0,142.5,3.695356,4.31877,5.0,2,5.0
145.0,150.0,147.5,3.341325,4.25,5.0,1,5.0
150.0,155.0,152.5,2.814454,4.533913,5.0,2,5.0
155.0,160.0,157.5,2.979042,2.569556,5.0,2,5.0
160.0,165.0,162.5,1.561432,2.25,5.0,1,5.0
165.0,170.0,167.5,3.410186,2.271356,5.0,2,5.0
170.0,175.0,172.5,2.795005,2.5,5.0,1,5.0
175.0,180.0,177.5,4.203956,3.989972,5.0,2,5.0
180.0,180.549438,180.274719,3.668227,4.25,0.549437,1,5.0
